CREATEDAT,CREATEDAT,LASTCHANGEDAT,LASTCHANGEDBY,productID,productName,productCategory,productModel,productBrand,productYear,productColor,productSize,productCondition,price,currencyCode_code,stockQuantity,image,productDescription
,,,,2BS-84300-00-00,HEADLIGHT ASSY ,Motorcycle,SUPER TENERE ES,Yamaha,2023,,,,701.99,USD,1,https://github.com/dewdale/images/raw/main/fb092fde-d33a-44f4-9e60-40e311ef1c2c_480px.gif,HEADLIGHT ASSY for 2023 Yamaha SUPER TENERE ES  (XTZ12EPCB/XTZ12EPB) 
,,,,2BS-14610-00-00,EXHAUST PIPE ASSY,Motorcycle,SUPER TENERE ES,Yamaha,2023,,,,962.99,USD,1,https://github.com/dewdale/images/raw/main/fdaa8067-9d2f-432a-9f92-80586561dd6b_480px.gif,EXHAUST PIPE ASSY 1 for 2023 Yamaha SUPER TENERE ES  (XTZ12EPCB/XTZ12EPB) 
,,,,2KB-83500-21-00,METER ASSY ,Motorcycle,SUPER TENERE ES,Yamaha,2023,,,,886.99,USD,1,https://github.com/dewdale/images/raw/main/91866e27-a370-4b42-94f1-35394c7c9c86_480px.gif,METER ASSY for 2023 Yamaha SUPER TENERE ES  (XTZ12EPCB/XTZ12EPB) 
,,,,BEA-Y2410-00-01,FUEL TANK COMP. - BMC,Motorcycle, XSR900,Yamaha,2023,,,,1099.99,USD,1,https://github.com/dewdale/images/raw/main/cd722cdb-68d3-4b92-aa35-0565568400b4_480px.gif,FUEL TANK COMP. - BMC for 2023 Yamaha XSR900  (XSR900PCL/XSR900PL) 
,,,,B7N-14710-11-00,MUFFLER ASSY 1,Motorcycle, XSR900,Yamaha,2023,,,,1527.99,USD,1,https://github.com/dewdale/images/raw/main/da17572d-cc66-47c3-8ff9-1d4f02c5ffb2_480px.gif,MUFFLER ASSY 1 for 2023 Yamaha XSR900  (XSR900PCL/XSR900PL) 
,,,,BEA-83500-20-00,METER ASSY,Motorcycle, XSR900,Yamaha,2023,,,,1161.99,USD,1,https://github.com/dewdale/images/raw/main/ca3a881f-a6a5-4d75-861d-b708582cefc7_480px.gif,METER ASSY for 2023 Yamaha XSR900  (XSR900PCL/XSR900PL) 
,,,,BD3-F4110-10-00,FUEL TANK COMP,ATV,GRIZZLY 90,Yamaha,2024,,,,524.99,USD,1,https://github.com/dewdale/images/raw/main/aebb84da-e1ee-4ebc-a099-df38d59a94d7_480px.gif,FUEL TANK COMP. for 2024 Yamaha GRIZZLY 90 (YFM09GYXRW) 
,,,,BD3-E4611-00-00,EXHAUST PIPE 1,ATV,GRIZZLY 90,Yamaha,2024,,,,235.99,USD,1,https://github.com/dewdale/images/raw/main/090a291e-8782-4ba3-acb2-bd2d42f5465f_480px.gif,"PIPE, EXHAUST 1 for 2024 Yamaha GRIZZLY 90 (YFM09GYXRW) "
,,,,BB5-F4110-01-00,FUEL TANK COMP,ATV,KODIAK 450 EPS,Yamaha,2024,,,,193.99,USD,1,https://github.com/dewdale/images/raw/main/e44b4291-3db0-41b5-9036-548356c65d9b_480px.gif,FUEL TANK COMP. for 2024 Yamaha KODIAK 450 EPS  (YFM45KPARG) 
,,,,BB5-E4611-01-00,EXHAUST PIPE 1,ATV,KODIAK 450 EPS,Yamaha,2024,,,,70.99,USD,1,https://github.com/dewdale/images/raw/main/9e927101-e242-4feb-9c49-e68eb2c891e0_480px.gif,"PIPE, EXHAUST 1 for 2024 Yamaha KODIAK 450 EPS  (YFM45KPARG) "
